station_name,location,time_of_day,start_station_count,end_station_count,total_station_traffic
Madison St & Montgomery St,"40.713126,-73.984844",Morning,233,189,422
Montrose Ave & Bushwick Ave,"40.70767788,-73.94016171",Morning,260,160,420
Willoughby Ave & Hall St,"40.69196035,-73.96536851",Morning,249,168,417
N 12 St & Bedford Ave,"40.72079821,-73.95484712",Morning,182,232,414
Greenpoint Ave & Manhattan Ave,"40.73026,-73.95394",Morning,196,217,413
McGuinness Blvd & Eagle St,"40.73555,-73.95284",Morning,246,163,409
E 37 St & Lexington Ave,"40.748238,-73.978311",Morning,203,205,408
Bedford Ave & S 9 St,"40.70853074,-73.96408963",Morning,264,143,407
W 84 St & Columbus Ave,"40.78499979,-73.97283406",Morning,258,148,406
Lafayette Ave & Classon Ave,"40.68900443,-73.96023854",Morning,252,154,406
DeKalb Ave & Vanderbilt Ave,"40.68940747,-73.96885458",Morning,198,196,394
Avenue D & E 8 St,"40.72368361,-73.97574813",Morning,304,87,391
Broadway & Roebling St,"40.709248262761569,-73.960631489753723",Morning,187,202,389
N 11 St & Wythe Ave,"40.72153267,-73.95782357",Morning,216,171,387
Meserole Ave & Manhattan Ave,"40.72708584,-73.95299117",Morning,197,184,381
Grand Army Plaza & Plaza St West,"40.6729679,-73.97087984",Morning,164,208,372
Lafayette Ave & St James Pl,"40.68851534,-73.9647628",Morning,221,143,364
Madison St & Clinton St,"40.71269042,-73.98776323",Morning,265,94,359
W 78 St & Broadway,"40.78339981,-73.98093133",Morning,183,174,357
Macon St & Nostrand Ave,"40.6809833854,-73.9500479759",Morning,200,155,355
Hanson Pl & Ashland Pl,"40.685068073081773,-73.977907598018632",Morning,129,225,354
E 58 St & 1 Ave,"40.75892386377695,-73.962262272834778",Morning,163,190,353
W 70 St & Amsterdam Ave,"40.77748046,-73.98288594",Morning,186,161,347
Stanton St & Mangin St,"40.71782143,-73.97628939",Morning,200,146,346
Bond St & Schermerhorn St,"40.68807003,-73.98410637",Morning,184,162,346
Huron St & Franklin St,"40.73266,-73.95826",Morning,203,138,341
Avenue D & E 3 St,"40.72082834,-73.97793172",Morning,239,102,341
Columbia St & Rivington St,"40.71739973,-73.98016555",Morning,231,109,340
Fulton St & Adams St,"40.692418292578466,-73.989494740962982",Morning,192,147,339
Ashland Pl & Hanson Pl,"40.68528172,-73.97805813",Morning,159,180,339
Bond St & Fulton St,"40.689621887903328,-73.983042687177658",Morning,124,211,335
Fulton St & Grand Ave,"40.68223166,-73.9614583",Morning,197,138,335
E 81 St & 3 Ave,"40.77573034,-73.9567526",Morning,244,89,333
Graham Ave & Conselyea St,"40.715143,-73.944507",Morning,217,115,332
India St & Manhattan Ave,"40.73232194,-73.9550858",Morning,208,121,329
E 53 St & 3 Ave,"40.757632277394428,-73.969305753707886",Morning,147,182,329
Adelphi St & Myrtle Ave,"40.69308257,-73.97178913",Morning,224,99,323
W 74 St & Columbus Ave,"40.7785669,-73.97754961",Morning,175,141,316
6 Ave & Spring St,"40.7252556952547,-74.004120826721191",Morning,169,146,315
Willoughby Ave & Walworth St,"40.69331716,-73.95381995",Morning,225,90,315
E 81 St & Park Ave,"40.77677702,-73.9590097",Morning,163,149,312
W 36 St & 9 Ave,"40.754623240291053,-73.99516761302948",Morning,167,142,309
9 St & 44 Rd,"40.74966,-73.9521",Morning,231,76,307
Washington Park,"40.6917823,-73.9737299",Morning,224,80,304
Amsterdam Ave & W 82 St,"40.78524672,-73.97667321",Morning,175,129,304
E 75 St & 3 Ave,"40.77112927,-73.95772297",Morning,205,97,302
Myrtle Ave & St Edwards St,"40.69327018,-73.97703874",Morning,166,135,301
S Portland Ave & Hanson Pl,"40.68539567,-73.97431458",Morning,150,149,299
E 44 St & 2 Ave,"40.751183874632773,-73.971387147903442",Morning,156,142,298
West Drive & Prospect Park West,"40.6610633719006,-73.979452550411224",Morning,153,142,295
Bergen St & Smith St,"40.6867443,-73.99063168",Morning,140,154,294
Fulton St & Clermont Ave,"40.68415748,-73.96922273",Morning,181,110,291
Metropolitan Ave & Meeker Ave,"40.71413311,-73.95234386",Morning,143,148,291
Murray St & Greenwich St,"40.714851505262516,-74.011223316192627",Morning,98,192,290
Schermerhorn St & Court St,"40.691029256779679,-73.991833627223969",Morning,126,163,289
Union Ave & N 12 St,"40.71924,-73.95242",Morning,133,155,288
Myrtle Ave & Lewis Ave,"40.69681963,-73.93756926",Morning,169,119,288
W Broadway & Spring Street,"40.724946723594158,-74.00165855884552",Morning,102,177,279
Cathedral Pkwy & Broadway,"40.804213,-73.96699104",Morning,107,172,279
Hope St & Union Ave,"40.71167351,-73.95141312",Morning,177,101,278
Humboldt St & Varet St,"40.7031724,-73.940636",Morning,183,95,278
Central Park West & W 102 St,"40.795346,-73.96186",Morning,170,104,274
Monroe St & Bedford Ave,"40.6851443,-73.95380904",Morning,193,78,271
Franklin St & Dupont St,"40.73564,-73.95866",Morning,157,114,271
46 Ave & 5 St,"40.74731,-73.95451",Morning,160,110,270
E 84 St & 1 Ave,"40.77565541,-73.95068615",Morning,158,105,263
Washington Ave & Greene Ave,"40.68650065,-73.96563307",Morning,187,76,263
Roebling St & N 4 St,"40.71469,-73.95739",Morning,134,129,263
E 97 St & Madison Ave,"40.787801,-73.953559",Morning,150,109,259
Soissons Landing,"40.69231660719192,-74.014865756034851",Morning,161,97,258
W 64 St & West End Ave,"40.77452835,-73.98753759",Morning,178,78,256
Lenox Ave & W 111 St,"40.7987859,-73.9523",Morning,135,120,255
Center Blvd & Borden Ave,"40.74161,-73.96044",Morning,88,167,255
Penn Station Valet,"40.751283596962296,-73.99692445993422",Morning,207,37,244
Cumberland St & Lafayette Ave,"40.68753406,-73.97265183",Morning,148,96,244
East End Ave & E 86 St,"40.77518615,-73.94446054",Morning,145,99,244
S 4 St & Rodney St,"40.70934,-73.95608",Morning,144,95,239
Lexington Ave & Classon Ave,"40.68676793,-73.95928168",Morning,155,81,236
E 85 St & York Ave,"40.77536905,-73.94803392",Morning,171,63,234
Plaza St West & Flatbush Ave,"40.6750207,-73.97111473",Morning,118,116,234
E 76 St & Park Ave,"40.773763,-73.96222088",Morning,124,105,229
44 Dr & Jackson Ave,"40.74718234,-73.9432635",Morning,114,114,228
Clermont Ave & Park Ave,"40.69573398,-73.97129668",Morning,173,55,228
Carlton Ave & Park Ave,"40.69580705,-73.97355569",Morning,131,97,228
Driggs Ave & Lorimer St,"40.72179134,-73.9504154",Morning,109,113,222
W 104 St & Amsterdam Ave,"40.7989937,-73.9662173778",Morning,161,59,220
E 110 St & Madison Ave,"40.7961535,-73.94782145",Morning,153,66,219
Broadway & Whipple St,"40.7016657,-73.9437303",Morning,127,89,216
Amsterdam Ave & W 79 St,"40.7829391,-73.9786517",Morning,113,103,216
Driggs Ave & N Henry St,"40.72325,-73.94308",Morning,165,49,214
Columbia St & Degraw St,"40.6859296,-74.00242364",Morning,123,90,213
E 66 St & Madison Ave,"40.768008893059474,-73.96845281124115",Morning,99,114,213
Hancock St & Bedford Ave,"40.68216564,-73.95399026",Morning,157,55,212
Clermont Ave & Lafayette Ave,"40.68764484,-73.96968902",Morning,113,97,210
W 95 St & Broadway,"40.7937704,-73.971888",Morning,112,98,210
Avenue D & E 12 St,"40.72580614,-73.97422494",Morning,172,35,207
W 89 St & Columbus Ave,"40.7882213,-73.97041561",Morning,132,75,207
Sands St & Navy St,"40.699773,-73.979927",Morning,56,150,206
E 81 St & York Ave,"40.7728384,-73.94989233",Morning,140,62,202
E 35 St & 3 Ave,"40.746524,-73.977885",Morning,105,88,193
Banker St & Meserole Ave,"40.72606,-73.95621",Morning,118,72,190
Carroll St & Smith St,"40.680611,-73.99475825",Morning,115,73,188
Division Ave & Hooper St,"40.70691254,-73.95441667",Morning,117,70,187
Lewis Ave & Madison St,"40.686312,-73.935775",Morning,151,36,187
Riverside Dr & W 104 St,"40.8013434,-73.9711457439",Morning,104,80,184
W 87 St  & Amsterdam Ave,"40.78839,-73.9747",Morning,118,65,183
E 58 St & Madison Ave,"40.763025942805193,-73.972095251083374",Morning,77,106,183
Yankee Ferry Terminal,"40.686931,-74.016966",Morning,62,120,182
Myrtle Ave & Marcy Ave,"40.69539817,-73.94954908",Morning,126,56,182
3 Ave & Schermerhorn St,"40.68683208,-73.9796772",Morning,82,99,181
Union Ave & Wallabout St,"40.70029511,-73.95032283",Morning,102,78,180
Union St & 4 Ave,"40.6772744,-73.98282002",Morning,100,78,178
Stagg St & Union Ave,"40.70877084,-73.95095259",Morning,121,57,178
Bushwick Ave & Powers St,"40.71247661,-73.94100005",Morning,106,69,175
Greenwich St & Hubert St,"40.721319,-74.010065",Morning,72,101,173
Monroe St & Classon Ave,"40.6845683,-73.95881081",Morning,119,53,172
Norman Ave & Leonard St,"40.7258483,-73.95064893",Morning,122,50,172
45 Rd & 11 St,"40.74708586,-73.94977234",Morning,76,95,171
W 106 St & Amsterdam Ave,"40.8008363,-73.9664492472",Morning,100,70,170
E 91 St & 2 Ave,"40.781122299341661,-73.949655890464783",Morning,120,49,169
Columbus Ave & W 95 St,"40.7919557,-73.968087",Morning,95,72,167
Fulton St & Utica Ave,"40.6794268,-73.9298911",Morning,77,89,166
Lorimer St & Broadway,"40.70411791,-73.94818595",Morning,73,93,166
Boerum St & Broadway,"40.70538077,-73.94976519",Morning,107,58,165
Greene Ave & Throop Ave,"40.6894932,-73.942061",Morning,131,32,163
Nassau Ave & Newell St,"40.724812564400175,-73.947526216506958",Morning,119,43,162
Union Ave & Jackson St,"40.7160751,-73.952029",Morning,90,71,161
Gold St & Frankfort St,"40.710699946313873,-74.003541469573975",Morning,54,107,161
Carroll St & Columbia St,"40.6830456,-74.00348559",Morning,103,56,159
E 68 St & Madison Ave,"40.7691572,-73.96703464",Morning,77,80,157
Jackson Ave & 46 Rd,"40.74524768,-73.94733276",Morning,63,94,157
Division Ave & Marcy Ave,"40.70708701,-73.95796783",Morning,99,58,157
Hanson Pl & St Felix St,"40.685159599891776,-73.977113664150238",Morning,84,73,157
48 Ave & 5 St,"40.744363287066875,-73.9558732509613",Morning,94,63,157
E 41 St & 5 Ave,"40.752722013811884,-73.981236219406128",Morning,55,101,156
W 37 St & Broadway,"40.752270938374089,-73.987705707550049",Morning,93,63,156
Douglass St & 3 Ave,"40.6802133,-73.98432695",Morning,104,52,156
Tompkins Ave & Hopkins St,"40.69957608,-73.94708417",Morning,82,74,156
Court St & State St,"40.6902375,-73.99203074",Morning,73,80,153
Putnam Ave & Throop Ave,"40.6851532,-73.94111",Morning,113,39,152
Bergen St & Flatbush Ave,"40.680944723477296,-73.975673317909227",Morning,76,73,149
3 Ave & E 71 St,"40.76873687,-73.96119945",Morning,77,72,149
Graham Ave & Grand St,"40.711863,-73.944024",Morning,102,47,149
E 91 St & Park Ave,"40.7835016,-73.955327",Morning,68,80,148
E 68 St & 3 Ave,"40.76712840349542,-73.962246179580688",Morning,79,67,146
5 Ave & 3 St,"40.6728155,-73.98352355",Morning,74,71,145
Marcy Ave & Lafayette Ave,"40.6900815,-73.947915",Morning,105,40,145
Kosciuszko St & Nostrand Ave,"40.69072549,-73.95133465",Morning,109,36,145
W 100 St & Broadway,"40.7973721,-73.97041192",Morning,84,60,144
Park Ave & St Edwards St,"40.69608941,-73.97803415",Morning,91,51,142
E 71 St & 1 Ave,"40.76703432309872,-73.95622730255127",Morning,76,66,142
Madison Ave & E 99 St,"40.789485415532148,-73.952429294586182",Morning,61,81,142
Court St & Nelson St,"40.6763947,-73.99869893",Morning,95,46,141
E 80 St & 2 Ave,"40.773913902381182,-73.9543953537941",Morning,101,40,141
Berkeley Pl & 7 Ave,"40.675146838709786,-73.975232094526291",Morning,66,74,140
Greene Ave & Nostrand Ave,"40.6883337,-73.950916",Morning,89,49,138
Leonard St & Grand St,"40.71103537,-73.94714303",Morning,90,46,136
2 Ave & E 96 St,"40.7839636,-73.9471673",Morning,69,67,136
3 St & Prospect Park West,"40.668132,-73.97363831",Morning,61,73,134
W 17 St & 9 Ave,"40.742948916600909,-74.004136919975281",Morning,68,66,134
Columbia St & Kane St,"40.68763155,-74.0016256",Morning,97,36,133
Baltic St & 5 Ave,"40.6795766,-73.97854971",Morning,74,58,132
Commerce St & Van Brunt St,"40.6812117,-74.00860912",Morning,41,89,130
21 St & Queens Plaza North,"40.75325964,-73.94335788",Morning,82,47,129
Warren St & Court St,"40.686371,-73.99383324",Morning,58,70,128
E 40 St & Madison Ave,"40.751593684511114,-73.98043155670166",Morning,54,72,126
Scholes St & Manhattan Ave,"40.70870368,-73.9448625",Morning,85,40,125
Marcus Garvey Blvd & Macon St,"40.682601,-73.938037",Morning,58,66,124
Congress St & Clinton St,"40.6881529,-73.99520919",Morning,61,62,123
7 Ave & Park Pl,"40.6776147,-73.97324283",Morning,61,61,122
Lewis Ave & Kosciuszko St,"40.69237074,-73.93705428",Morning,90,32,122
Amsterdam Ave & W 66 St,"40.7746671,-73.98470567",Morning,51,69,120
Soissons Landing,"40.692609,-74.016398",Morning,23,97,120
Prospect Park West & 8 St,"40.66514681533792,-73.976376056671143",Morning,63,56,119
Smith St & 9 St,"40.6746957,-73.99785768",Morning,50,68,118
1 Ave & E 94 St,"40.7817212,-73.94594",Morning,72,45,117
E 106 St & Madison Ave,"40.7934337,-73.94945003",Morning,56,61,117
President St & Henry St,"40.6828003,-73.99990419",Morning,85,31,116
Gallatin Pl & Livingston St,"40.69028437,-73.98707105",Morning,41,74,115
E 61 St & Park Ave,"40.764210071690634,-73.969104588031769",Morning,47,66,113
E 88 St & 1 Ave,"40.778301,-73.9488134",Morning,70,43,113
E 74 St & 1 Ave,"40.7689738,-73.95482273",Morning,63,49,112
E 102 St & 1 Ave,"40.7869946,-73.94164802",Morning,77,34,111
Bond St & Bergen St,"40.6849668,-73.98620772",Morning,56,55,111
Devoe St & Lorimer St,"40.713352262228753,-73.9491033554077",Morning,54,56,110
Pioneer St & Van Brunt St,"40.679043,-74.011169",Morning,52,58,110
Graham Ave & Herbert St,"40.71929301,-73.94500379",Morning,74,35,109
E 89 St & 3 Ave,"40.7806284,-73.9521667",Morning,78,31,109
Leonard St & Bayard St,"40.71928,-73.94861",Morning,57,51,108
Riverside Dr & W 91 St,"40.793134809866629,-73.977003693580627",Morning,52,54,106
N 15 St & Wythe Ave,"40.724055,-73.955736",Morning,40,63,103
E 65 St & 2 Ave,"40.764718519443392,-73.962220698595047",Morning,61,42,103
E 77 St & Park Ave,"40.774405455003,-73.961752653121934",Morning,45,58,103
Smith St & 3 St,"40.6787242,-73.99599099",Morning,47,56,103
India St & East River,"40.73165141,-73.96161892",Morning,34,69,103
W 110 St & Amsterdam Ave,"40.802692,-73.96295",Morning,52,50,102
W 100 St & Manhattan Ave,"40.795,-73.9645",Morning,73,29,102
E 78 St & 2 Ave,"40.7727966,-73.95577801",Morning,65,37,102
Butler St & Court St,"40.6849894,-73.99440329",Morning,50,52,102
Lenox Ave & W 126 St,"40.808442,-73.9452087",Morning,66,34,100
Kingston Ave & Herkimer St,"40.67890679,-73.94142771",Morning,57,43,100
North Moore St & Greenwich St,"40.720195214374648,-74.0103006362915",Morning,56,44,100
West End Ave & W 94 St,"40.7941654,-73.974124",Morning,68,31,99
Richardson St & N Henry St,"40.719078911795641,-73.94223690032959",Morning,76,23,99
Henry St & Degraw St,"40.6847514,-73.99917254",Morning,64,35,99
Willoughby Ave & Tompkins Ave,"40.69425403,-73.94626915",Morning,79,20,99
Clinton St & Union St,"40.6831164,-73.99785267",Morning,72,26,98
Montague St & Clinton St,"40.694281141397326,-73.99230033159256",Morning,38,60,98
Picnic Point,"40.685125595154148,-74.025353193283081",Morning,34,63,97
E 103 St & Lexington Ave,"40.7903051,-73.94755757",Morning,53,44,97
Van Brunt St & Wolcott St,"40.6773429,-74.01275056",Morning,47,50,97
21 St & 43 Ave,"40.75052534,-73.94594845",Morning,64,32,96
E 88 St & Park Ave,"40.781410700190015,-73.95595908164978",Morning,46,50,96
Park Ave & E 124 St,"40.8045555,-73.9396861",Morning,58,38,96
Park Ave & Marcus Garvey Blvd,"40.698617,-73.941342",Morning,71,25,96
Prospect Pl & 6 Ave,"40.6793307,-73.97519523",Morning,43,53,96
Throop Ave & Myrtle Ave,"40.69622937,-73.94371094",Morning,66,29,95
Leonard St & Boerum St,"40.70583339,-73.94644578",Morning,66,29,95
Frederick Douglass Blvd & W 117 St,"40.805159,-73.954692",Morning,47,47,94
Albany Ave & Fulton St,"40.6800105,-73.938475",Morning,33,61,94
Kosciuszko St & Tompkins Ave,"40.69128258,-73.9452416",Morning,72,22,94
Monroe St & Tompkins Ave,"40.686203,-73.944694",Morning,71,23,94
E 89 St & York Ave,"40.7779453,-73.946041",Morning,59,35,94
Schermerhorn St & 3 Ave,"40.686808205034318,-73.980361819267273",Morning,68,24,92
W 107 St & Columbus Ave,"40.7997568,-73.9621128676",Morning,50,42,92
3 St & 3 Ave,"40.6750705,-73.98775226",Morning,37,54,91
Graham Ave & Withers St,"40.7169811,-73.94485918",Morning,60,31,91
Devoe St & Leonard St,"40.71348658,-73.94792458",Morning,55,35,90
W 90 St & Amsterdam Ave,"40.790179480950812,-73.972889184951782",Morning,63,26,89
Verona Pl & Fulton St,"40.6803560840434,-73.9476791024208",Morning,53,34,87
Frederick Douglass Blvd & W 112 St,"40.801694,-73.957145",Morning,50,36,86
West End Ave & W 107 St,"40.8021174,-73.9681805305",Morning,44,42,86
E 77 St & 3 Ave,"40.77314236,-73.95856158",Morning,39,47,86
Columbus Ave & W 103 St,"40.7969347,-73.9643412291",Morning,55,30,85
Nostrand Ave & Myrtle Ave,"40.69527008,-73.95238108",Morning,51,34,85
Lewis Ave & Decatur St,"40.6814598,-73.934903",Morning,58,27,85
W 92 St & Broadway,"40.7921,-73.9739",Morning,37,48,85
Carroll St & 5 Ave,"40.6751622,-73.9814832",Morning,49,35,84
Halsey St & Tompkins Ave,"40.6823687,-73.944118",Morning,37,46,83
W 113 St & Broadway,"40.805973,-73.964928",Morning,39,44,83
3 Ave & E 72 St,"40.7699426,-73.96060712",Morning,43,40,83
14 St & 5 Ave,"40.666287,-73.98895053",Morning,56,27,83
Clinton St & 4 Place,"40.6783563,-74.00014502",Morning,56,26,82
Union St & Nevins St,"40.679097997216843,-73.987654745578766",Morning,40,42,82
2 Ave  & E 104 St,"40.7892105,-73.94370784",Morning,43,39,82
3 St & Hoyt St,"40.6777287,-73.99364123",Morning,25,56,81
Coffey St & Conover St,"40.677236,-74.015665",Morning,18,63,81
W 16 St & 8 Ave,"40.741021509002664,-74.001384973526",Morning,37,43,80
Jay St & York St,"40.701403172577244,-73.986726701259613",Morning,24,56,80
Degraw St & Smith St,"40.6829151,-73.99318208",Morning,34,46,80
E 76 St & 3 Ave,"40.772248537721744,-73.958421349525452",Morning,47,33,80
McKibbin St & Manhattan Ave,"40.70510918,-73.94407279",Morning,44,35,79
E 67 St & Lexington Ave,"40.767342591432168,-73.9648586511612",Morning,36,42,78
Frost St & Meeker St,"40.71764,-73.94882",Morning,47,30,77
Dean St & Hoyt St,"40.6864442,-73.98759104",Morning,47,30,77
3 Ave & 14 St,"40.6685455,-73.99333264",Morning,53,23,76
Kane St & Clinton St,"40.6861758,-73.99645295",Morning,49,27,76
2 Ave & 9 St,"40.6724811,-73.99331394",Morning,49,27,76
E 43 St & 5 Ave,"40.754120810779256,-73.980251848697662",Morning,37,38,75
E 12 St & Avenue B,"40.728048571362606,-73.978811502456665",Morning,55,20,75
Putnam Ave & Nostrand Ave,"40.68402,-73.94977",Morning,49,25,74
W 18 St & 9 Ave,"40.7435337324616,-74.003675580024719",Morning,36,38,74
Flushing Ave & Vanderbilt Ave,"40.697950315695444,-73.970775604248047",Morning,26,48,74
Norman Ave & Leonard St,"40.725769967272143,-73.9507395029068",Morning,24,50,74
Eastern Pkwy & Washington Ave,"40.6716493,-73.9631145",Morning,25,48,73
Cambridge Pl & Gates Ave,"40.68488,-73.96304",Morning,52,21,73
14 St & 7 Ave,"40.663779,-73.98396846",Morning,45,28,73
W 88 St & West End Ave,"40.790254173304191,-73.977183401584611",Morning,49,24,73
Leonard St & Maujer St,"40.7103685423523,-73.947059512138367",Morning,52,21,73
6 Ave & 9 St,"40.668127,-73.98377641",Morning,29,43,72
E 82 St & East End Ave,"40.772460677893974,-73.946820795536041",Morning,43,29,72
E 109 St & 3 Ave,"40.79329668,-73.9432083",Morning,50,22,72
W 116 St & Broadway,"40.8082,-73.9641",Morning,33,38,71
3 St & 7 Ave,"40.6703837,-73.97839676",Morning,34,37,71
Berkeley Pl & 6 Ave,"40.6765304,-73.97846879",Morning,44,27,71
Douglass St & 4 Ave,"40.6792788,-73.98154004",Morning,35,36,71
Wyckoff St & 3 Ave,"40.6827549,-73.98258555",Morning,41,29,70
E 71 St & 2 Ave,"40.768175467422452,-73.959102630615234",Morning,34,36,70
Carroll St & Bond St,"40.6786115,-73.99037292",Morning,38,31,69
47 Ave & 31 St,"40.743,-73.93561",Morning,31,38,69
Riverside Dr & W 91 St,"40.7933718,-73.97685115",Morning,14,54,68
Lenox Ave & W 115 St,"40.8011939,-73.9500739",Morning,35,31,66
4 Ave & 9 St,"40.6705135,-73.98876585",Morning,37,29,66
Lenox Ave & W 130 St,"40.8107922,-73.9430681",Morning,41,24,65
21 St & 41 Ave,"40.753833434376219,-73.942676782608018",Morning,44,20,64
E 95 St & 3 Ave,"40.7849032,-73.950503",Morning,40,23,63
Pulaski St & Marcus Garvey Blvd,"40.6933982,-73.939877",Morning,54,9,63
Vernon Blvd & 41 Rd,"40.7552433,-73.9485678",Morning,23,39,62
Bayard St & Leonard St,"40.719155716960437,-73.94885390996933",Morning,21,41,62
Franklin Ave & Empire Blvd,"40.66314,-73.9605695",Morning,34,27,61
1 Pl & Clinton St,"40.6809591,-73.99905709",Morning,42,19,61
7 St & 5 Ave,"40.6704922,-73.98541675",Morning,32,29,61
W 116 St & Amsterdam Ave,"40.8067581,-73.9607082",Morning,26,35,61
4 Ave & 2 St,"40.674613422475815,-73.985011428594589",Morning,27,34,61
6 St & 7 Ave,"40.6686627,-73.97988067",Morning,27,33,60
Carroll St & 6 Ave,"40.6740886,-73.9787282",Morning,37,23,60
Railroad Ave & Kay Ave,"40.70531194,-73.97100056",Morning,12,48,60
10 St & 5 Ave,"40.6686273,-73.98700053",Morning,35,24,59
Adam Clayton Powell Blvd & W 126 St,"40.809495347779475,-73.947764933109283",Morning,28,31,59
10 St & 7 Ave,"40.6662078,-73.98199886",Morning,39,19,58
Reed St & Van Brunt St,"40.6747844,-74.01612847",Morning,26,32,58
E 106 St & 1 Ave,"40.7892529,-73.93956237",Morning,35,22,57
31 St & Thomson Ave,"40.74469738,-73.93540375",Morning,25,32,57
E 102 St & Park Ave,"40.7904828,-73.95033068",Morning,31,25,56
E 93 St & 2 Ave,"40.782454175279874,-73.9489196240902",Morning,29,26,55
Frederick Douglass Blvd & W 129 St,"40.8125511,-73.9492286",Morning,31,22,53
31 St & Broadway,"40.761584,-73.925921",Morning,30,23,53
E 82 St & 2 Ave,"40.77517793,-73.95324922",Morning,45,7,52
Pioneer St & Richards St,"40.6777748,-74.0094613",Morning,34,18,52
E 2 St & Avenue A,"40.723077490686727,-73.985836207866669",Morning,34,18,52
Vernon Blvd & 30 Rd,"40.770845,-73.934171",Morning,22,29,51
Fulton St & Waverly Ave,"40.683238654603414,-73.965995907783508",Morning,34,17,51
Richards St & Delavan St,"40.6794327,-74.00785041",Morning,35,16,51
Hoyt St & Warren St,"40.6843549,-73.98901629",Morning,31,19,50
Sterling Pl & Bedford Ave,"40.672695,-73.954131",Morning,33,16,49
28 St & 41 Ave,"40.751047,-73.93797",Morning,25,24,49
Amsterdam Ave & W 119 St,"40.8086249,-73.9596214",Morning,20,27,47
6 Ave & 12 St,"40.6663181,-73.9854617",Morning,41,6,47
31 St & Astoria Blvd,"40.7699176,-73.9184057",Morning,23,24,47
Hanover Pl & Livingston St,"40.68864636,-73.98263429",Morning,23,24,47
Garfield Pl & 8 Ave,"40.6711978,-73.97484126",Morning,28,18,46
St Nicholas Ave & Manhattan Ave,"40.809725,-73.953149",Morning,29,17,46
Sigourney St & Columbia St,"40.672672434109479,-74.0087952464819",Morning,20,25,45
E 106 St & Lexington Ave,"40.791976,-73.945993",Morning,33,12,45
12 St & 4 Ave,"40.668603,-73.9904394",Morning,32,13,45
Vernon Blvd & 10 St,"40.7671863,-73.9373554",Morning,20,24,44
1 Ave & E 110 St,"40.7923272,-73.9383",Morning,24,20,44
Eastern Pkwy & Franklin Ave,"40.6707767,-73.9576801",Morning,27,17,44
Adam Clayton Powell Blvd & W 115 St,"40.802535,-73.9532423",Morning,34,9,43
Park Pl & Vanderbilt Ave,"40.6767,-73.969024",Morning,22,21,43
Leonard St & Manhattan Ave,"40.721522403393031,-73.94898265600203",Morning,23,20,43
Degraw St & Hoyt St,"40.681990442707026,-73.990790247917175",Morning,31,12,43
India St & West St,"40.731814017209658,-73.95995020866394",Morning,20,23,43
Franklin Ave & St Marks Ave,"40.6758324,-73.9561677",Morning,31,11,42
2 Ave & 36 St - Citi Bike HQ at Industry City,"40.657088666684849,-74.008702039718628",Morning,5,36,41
Schermerhorn St & Bond St,"40.688417427540834,-73.984516561031342",Morning,21,19,40
Van Dyke St & Van Brunt St,"40.675816225228317,-74.01488184928894",Morning,13,27,40
Mt Morris Park W & W 120 St,"40.804038,-73.945925",Morning,24,16,40
Broadway & Moylan Pl,"40.8143256,-73.9590255",Morning,21,19,40
31 St & 23 Ave,"40.7747878,-73.9125551",Morning,18,22,40
Carlton Ave & Dean St,"40.6809741,-73.9710097",Morning,24,14,38
Sterling Pl & 7 Ave,"40.677164894690591,-73.973827958107",Morning,16,22,38
Broadway & W 122 St,"40.8120562,-73.9612547",Morning,23,15,38
Center Blvd & 48 Ave,"40.745038,-73.957539",Morning,21,16,37
Riverside Dr & W 89 St,"40.791811715010972,-73.9786022901535",Morning,20,16,36
2 Ave & E 99 St,"40.7862586,-73.94552579",Morning,19,17,36
Wolcott St & Dwight St,"40.6753274,-74.0100698",Morning,19,17,36
W 120 St & Claremont Ave,"40.8109494,-73.9634",Morning,13,23,36
Pacific St & Nevins St,"40.6853761,-73.98302136",Morning,19,16,35
Pleasant Ave & E 116 St,"40.7949879,-73.9333349",Morning,16,19,35
Astoria Park S & Shore Blvd,"40.7767,-73.927631",Morning,19,16,35
Underhill Ave & Pacific St,"40.6804836,-73.9646795",Morning,19,16,35
36 Ave & 10 St,"40.7614376,-73.9411265",Morning,15,19,34
44 Dr & 21 St,"40.748,-73.9460927",Morning,20,14,34
Eckford St & Engert Ave,"40.721462562298164,-73.948009014129639",Morning,21,12,33
Underhill Ave & Lincoln Pl,"40.6740123,-73.9671457",Morning,24,9,33
37 Ave & 35 St,"40.7531106,-73.9279917",Morning,18,15,33
Amsterdam Ave & W 125 St,"40.813358,-73.956461",Morning,16,16,32
5 St & 6 Ave,"40.6704836,-73.98208968",Morning,20,12,32
35 Ave & 37 St,"40.7557327,-73.9236611",Morning,13,18,31
Henry St & Bay St,"40.6725058,-74.00494695",Morning,20,11,31
10 Hudson Yards,"40.752957,-74.00264",Morning,2,29,31
Bergen St & Vanderbilt Ave,"40.6794388,-73.9680438",Morning,11,20,31
Dwight St & Van Dyke St,"40.673635513415043,-74.011955559253693",Morning,9,22,31
E 115 St & Lexington Ave,"40.797911,-73.9423",Morning,21,9,30
31 Ave & 34 St,"40.763154,-73.920827",Morning,26,4,30
St Johns Pl & Washington Ave,"40.6737236,-73.9631611",Morning,13,17,30
E 97 St & 3 Ave,"40.7859201,-73.94860294",Morning,15,14,29
Adam Clayton Powell Blvd & W 123 St,"40.8078316,-73.949373",Morning,13,16,29
St. Nicholas Ave & W 126 St,"40.8114323,-73.9518776",Morning,17,12,29
